title,c
current population survey,400
national longitudinal study,295
american community survey,264
early childhood longitudinal study kindergarten class,261
early childhood longitudinal study birth cohort,206
genome wide association study,182
national longitudinal survey of youth,173
alzheimer s disease cooperative study,148
national longitudinal study of the high school class,147
early childhood longitudinal study kindergarten cohort,146
private school survey,145
national educational longitudinal study,142
united states geological survey,142
third international mathematics and science study,124
postsecondary education transcript study,124
high school transcript study,115
framingham heart study,112
national household education survey,108
national survey of college graduates,103
early childhood longitudinal study kindergarten,100
national land cover database,95
national adult literacy survey,93
cardiovascular health study,84
higher education general information survey,79
mayo clinic study of aging,79
quality education data,78
general social survey,78
teacher follow up survey,76
global initiative on sharing all influenza data,68
national crime victimization survey,67
religious orders study,66
international adult literacy survey,65
national land cover dataset,59
health and retirement study,57
national elevation dataset,57
business r d and innovation survey,57
australian imaging biomarkers and lifestyle study,54
north american breeding bird survey data,53
academic libraries survey,51
beginning postsecondary student longitudinal study,50
educational longitudinal study,49
national science foundation s survey of earned doctorates,49
national survey of recent college graduates,49
trends in international mathematics and sciences study,45
national longitudinal transition study,44
high school and beyond longitudinal study,44
high school and beyond study,41
nurses health study,41
farm costs and returns survey,41
baltimore longitudinal study on aging,39
early childhood program participation survey,39
education national center for education statistics early childhood longitudinal study kindergarten class,38
alzheimer s disease neuroimaging initiative study,38
education national center for education statistics national education longitudinal study,37
early childhood longitudinal survey,37
massachusetts male aging study,37
international study center,36
teacher followup survey,35
occupational employment statistics survey,34
national postsecondary student aid survey,33
national longitudinal study of youth,32
women s health initiative memory study,32
parent and family involvement survey,32
harvard aging brain study,31
recent college graduates study,31
survey of income and program participation,30
beginning teacher longitudinal study,30
youth risk behavior survey,30
national geodetic survey,30
survey of doctoral recipients,30
national science foundation national center for science and engineering statistics survey,30
national land cover data,29
national educational longitudinal survey,28
beginning postsecondary students longitudinal study first follow,28
high school effectiveness study,27
second international mathematics study,27
american time use survey,25
millennium cohort study,25
beginning postsecondary students longitudinal study second follow,25
after school programs and activities survey,25
school safety and discipline survey,25
graduate student survey,25
base year ineligible study,25
national science foundation division of science resources statistics survey of doctorate recipients,25
trends in international math and science study,24
graduation rate survey,24
national hydrography dataset,23
national longitudinal study of adolescent health add health,22
panel study of income dynamics,22
women s health and aging study,22
alzheimer s disease neuroimaging initiative data,22
beginning postsecondary students study,21
national longitudinal survey,21
third national health and nutrition examination survey,21
honolulu asia aging study,21
australian imaging biomarker and lifestyle study,21
teaching and learning international survey,21
public libraries survey,21
postdoctoral study plans,21
baccalaureate and beyond study,20
national survey of children s health,20
adult education for lifelong learning survey,20
high school and beyond survey,19
fragile families and child wellbeing study,19
health aging and body composition study,19
alzheimer disease neuroimaging initiative,19
breeding bird survey data,19
open research dataset challenge,19
study of early child care and youth development,18
school effectiveness study,18
service annual survey,18
european randomized study of screening for prostate cancer,17
framingham offspring study,17
religious orders study and rush memory and aging project,17
north american breeding bird survey sauer,17
longitudinal business database,16
survey of consumer finances,16
physicians health study,16
global initiative on sharing avian influenza data,16
